epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.95316082239151,0.24071870744228363,0.06720487773418427,0.028242116793990135,0.03018645942211151,0.0003000000142492354,0.2711753845214844,0.4183278977870941,0.9851201176643372,0.863025963306427,0.9956432580947876,0.9833004474639893,0.2620391547679901,0.07460279017686844,0.01905599609017372,0.021585656329989433,0.08437170088291168,0.4321333169937134,0.9832459688186646,0.9832135438919067,0.9944269061088562
1,0.9865167140960693,0.2690030336380005,0.11277042329311371,0.04469941556453705,0.05266742408275604,0.0003000000142492354,0.06426449865102768,0.49650564789772034,0.9864071011543274,0.9864211082458496,0.9954842329025269,0.9833004474639893,0.274576872587204,0.17626436054706573,0.07106424868106842,0.07947041094303131,0.07769162952899933,0.4474557042121887,0.9830589294433594,0.9830865859985352,0.9943838119506836
2,0.9865179657936096,0.2788177728652954,0.14056631922721863,0.07160639762878418,0.08117637038230896,0.0003000000142492354,0.05902079492807388,0.5615032315254211,0.9870288968086243,0.9863207340240479,0.9956889748573303,0.9833005666732788,0.2771194279193878,0.0996437519788742,0.028018631041049957,0.06235243007540703,0.07372425496578217,0.5437998175621033,0.983768880367279,0.9832614660263062,0.9945953488349915
3,0.9866094589233398,0.3083879351615906,0.2096082717180252,0.13373883068561554,0.1585233360528946,0.0003000000142492354,0.051341429352760315,0.5912120342254639,0.9888963103294373,0.985240638256073,0.9962897896766663,0.983677864074707,0.3361797034740448,0.24499277770519257,0.177918940782547,0.24063695967197418,0.055162008851766586,0.5971997976303101,0.987464189529419,0.982923686504364,0.9958046674728394
4,0.9868718981742859,0.3419383466243744,0.27729523181915283,0.20493707060813904,0.2647513449192047,0.0003000000142492354,0.047087620943784714,0.6103227734565735,0.9917302131652832,0.9833781719207764,0.9971829056739807,0.983685314655304,0.31139469146728516,0.19009874761104584,0.08346398174762726,0.12918196618556976,0.07186306267976761,0.6559566259384155,0.9857607483863831,0.9825246930122375,0.9952396154403687
5,0.9876777529716492,0.3574274778366089,0.3232909142971039,0.22140556573867798,0.3003353774547577,0.0003000000142492354,0.04043523222208023,0.6475133895874023,0.9928051829338074,0.9840924739837646,0.9975172281265259,0.9846729040145874,0.37129905819892883,0.3010452091693878,0.16533489525318146,0.26903387904167175,0.0528235100209713,0.7424108982086182,0.9888200759887695,0.9829335808753967,0.9962142705917358
6,0.9871397614479065,0.358975887298584,0.3229619264602661,0.2158741056919098,0.3024427592754364,0.0003000000142492354,0.044692281633615494,0.6408071517944336,0.9927156567573547,0.9830589294433594,0.997490644454956,0.9848551154136658,0.3613021671772003,0.3684166967868805,0.225145623087883,0.2691999673843384,0.04708432778716087,0.6421895623207092,0.9913758039474487,0.9810106158256531,0.9970226883888245
7,0.9887679815292358,0.39021825790405273,0.4244261682033539,0.25287705659866333,0.3571110665798187,0.0003000000142492354,0.03423896059393883,0.6739274263381958,0.9940438866615295,0.9843707084655762,0.9978911876678467,0.9853646755218506,0.39134228229522705,0.42340439558029175,0.23586659133434296,0.30701085925102234,0.04169049486517906,0.6240316033363342,0.9905422925949097,0.9827256202697754,0.9967572093009949
8,0.9883601069450378,0.39394599199295044,0.4106592535972595,0.27205783128738403,0.35700640082359314,0.0003000000142492354,0.03737446293234825,0.6477994918823242,0.993645966053009,0.9837641716003418,0.9977626800537109,0.9849345088005066,0.386139839887619,0.30803346633911133,0.22093266248703003,0.2908008396625519,0.05593746155500412,0.7719457149505615,0.9889600276947021,0.9832582473754883,0.9962639808654785
9,0.9895271062850952,0.411510705947876,0.455991268157959,0.295192152261734,0.39703845977783203,0.0003000000142492354,0.03092750534415245,0.7316842079162598,0.9947022795677185,0.9848881363868713,0.9980923533439636,0.9867241382598877,0.4211040735244751,0.4548278748989105,0.32143843173980713,0.3518088757991791,0.03852105885744095,0.731088399887085,0.9918037056922913,0.9827739000320435,0.9971470236778259
10,0.9902560114860535,0.4378112852573395,0.5107648968696594,0.37089353799819946,0.3991898000240326,0.0003000000142492354,0.029126254841685295,0.7113649249076843,0.9941762089729309,0.9864174127578735,0.9979416131973267,0.987173855304718,0.41127392649650574,0.43295058608055115,0.357573539018631,0.3307027518749237,0.03875797614455223,0.6974432468414307,0.9919075965881348,0.9831849336624146,0.9971919059753418
